areaCode,areaName,tenureCode,tenureType,value2011,value2021
E09000023,Lewisham,3,Social rented: Rents from council or Local Authority,18084,16045
E09000023,Lewisham,4,Social rented: Other social rented,17968,19708
E09000023,Lewisham,5,Private rented: Private landlord or letting agency,26665,30797
E09000023,Lewisham,6,Private rented: Other private rented,1551,2492
E09000023,Lewisham,7,Lives rent free,1159,177
E09000024,Merton,0,Owned: Owns outright,20160,20695
E09000024,Merton,1,Owned: Owns with a mortgage or loan,26529,24773
E09000024,Merton,2,Shared ownership: Shared ownership,671,869
E09000024,Merton,3,Social rented: Rents from council or Local Authority,2887,2342
E09000024,Merton,4,Social rented: Other social rented,8215,9257
E09000024,Merton,5,Private rented: Private landlord or letting agency,18478,21998
E09000024,Merton,6,Private rented: Other private rented,1025,1750
E09000024,Merton,7,Lives rent free,792,42
E09000025,Newham,0,Owned: Owns outright,12993,14695
E09000025,Newham,1,Owned: Owns with a mortgage or loan,20829,20884
E09000025,Newham,2,Shared ownership: Shared ownership,1806,2739
E09000025,Newham,3,Social rented: Rents from council or Local Authority,18592,17989
E09000025,Newham,4,Social rented: Other social rented,11500,14401
E09000025,Newham,5,Private rented: Private landlord or letting agency,33118,41391
E09000025,Newham,6,Private rented: Other private rented,1452,3088
E09000025,Newham,7,Lives rent free,1229,324
E09000026,Redbridge,0,Owned: Owns outright,27911,27956
E09000026,Redbridge,1,Owned: Owns with a mortgage or loan,35072,31265
E09000026,Redbridge,2,Shared ownership: Shared ownership,1003,983
E09000026,Redbridge,3,Social rented: Rents from council or Local Authority,6269,6604
E09000026,Redbridge,4,Social rented: Other social rented,5020,5103
E09000026,Redbridge,5,Private rented: Private landlord or letting agency,21441,29079
E09000026,Redbridge,6,Private rented: Other private rented,1216,2497
E09000026,Redbridge,7,Lives rent free,1173,227
E09000027,Richmond upon Thames,0,Owned: Owns outright,23756,24535
E09000027,Richmond upon Thames,1,Owned: Owns with a mortgage or loan,26994,25826
E09000027,Richmond upon Thames,2,Shared ownership: Shared ownership,601,560
E09000027,Richmond upon Thames,3,Social rented: Rents from council or Local Authority,2451,1829
E09000027,Richmond upon Thames,4,Social rented: Other social rented,7600,7923
E09000027,Richmond upon Thames,5,Private rented: Private landlord or letting agency,16410,18393
E09000027,Richmond upon Thames,6,Private rented: Other private rented,1030,1577
E09000027,Richmond upon Thames,7,Lives rent free,993,61
E09000028,Southwark,0,Owned: Owns outright,11805,13879
E09000028,Southwark,1,Owned: Owns with a mortgage or loan,23525,23870
E09000028,Southwark,2,Shared ownership: Shared ownership,2453,3182
E09000028,Southwark,3,Social rented: Rents from council or Local Authority,37628,35433
E09000028,Southwark,4,Social rented: Other social rented,15016,16558
E09000028,Southwark,5,Private rented: Private landlord or letting agency,26752,34493
E09000028,Southwark,6,Private rented: Other private rented,1741,3013
E09000028,Southwark,7,Lives rent free,1502,392
E09000029,Sutton,0,Owned: Owns outright,22357,23400
E09000029,Sutton,1,Owned: Owns with a mortgage or loan,30795,29647
E09000029,Sutton,2,Shared ownership: Shared ownership,611,889
E09000029,Sutton,3,Social rented: Rents from council or Local Authority,6421,5399
E09000029,Sutton,4,Social rented: Other social rented,5001,6268
E09000029,Sutton,5,Private rented: Private landlord or letting agency,11671,15372
E09000029,Sutton,6,Private rented: Other private rented,758,1311
E09000029,Sutton,7,Lives rent free,560,61
E09000030,Tower Hamlets,0,Owned: Owns outright,8648,9424
E09000030,Tower Hamlets,1,Owned: Owns with a mortgage or loan,15904,18459
E09000030,Tower Hamlets,2,Shared ownership: Shared ownership,2383,3143
E09000030,Tower Hamlets,3,Social rented: Rents from council or Local Authority,17548,16697
E09000030,Tower Hamlets,4,Social rented: Other social rented,22558,26540
E09000030,Tower Hamlets,5,Private rented: Private landlord or letting agency,31227,43126
E09000030,Tower Hamlets,6,Private rented: Other private rented,1737,2874
E09000030,Tower Hamlets,7,Lives rent free,1252,276
E09000031,Waltham Forest,0,Owned: Owns outright,19396,20817
