Lower tier local authorities Code,Lower tier local authorities,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E09000024,Merton,2,Shared ownership: Shared ownership,869
E09000024,Merton,3,Social rented: Rents from council or Local Authority,2342
E09000024,Merton,4,Social rented: Other social rented,9257
E09000024,Merton,5,Private rented: Private landlord or letting agency,21998
E09000024,Merton,6,Private rented: Other private rented,1750
E09000024,Merton,7,Lives rent free,42
E09000025,Newham,-8,Does not apply,0
E09000025,Newham,0,Owned: Owns outright,14695
E09000025,Newham,1,Owned: Owns with a mortgage or loan,20884
E09000025,Newham,2,Shared ownership: Shared ownership,2739
E09000025,Newham,3,Social rented: Rents from council or Local Authority,17989
E09000025,Newham,4,Social rented: Other social rented,14401
E09000025,Newham,5,Private rented: Private landlord or letting agency,41391
E09000025,Newham,6,Private rented: Other private rented,3088
E09000025,Newham,7,Lives rent free,324
E09000026,Redbridge,-8,Does not apply,0
E09000026,Redbridge,0,Owned: Owns outright,27956
E09000026,Redbridge,1,Owned: Owns with a mortgage or loan,31265
E09000026,Redbridge,2,Shared ownership: Shared ownership,983
E09000026,Redbridge,3,Social rented: Rents from council or Local Authority,6604
E09000026,Redbridge,4,Social rented: Other social rented,5103
E09000026,Redbridge,5,Private rented: Private landlord or letting agency,29079
E09000026,Redbridge,6,Private rented: Other private rented,2497
E09000026,Redbridge,7,Lives rent free,227
E09000027,Richmond upon Thames,-8,Does not apply,0
E09000027,Richmond upon Thames,0,Owned: Owns outright,24535
E09000027,Richmond upon Thames,1,Owned: Owns with a mortgage or loan,25826
E09000027,Richmond upon Thames,2,Shared ownership: Shared ownership,560
E09000027,Richmond upon Thames,3,Social rented: Rents from council or Local Authority,1829
E09000027,Richmond upon Thames,4,Social rented: Other social rented,7923
E09000027,Richmond upon Thames,5,Private rented: Private landlord or letting agency,18393
E09000027,Richmond upon Thames,6,Private rented: Other private rented,1577
E09000027,Richmond upon Thames,7,Lives rent free,61
E09000028,Southwark,-8,Does not apply,0
E09000028,Southwark,0,Owned: Owns outright,13879
E09000028,Southwark,1,Owned: Owns with a mortgage or loan,23870
E09000028,Southwark,2,Shared ownership: Shared ownership,3182
E09000028,Southwark,3,Social rented: Rents from council or Local Authority,35433
E09000028,Southwark,4,Social rented: Other social rented,16558
E09000028,Southwark,5,Private rented: Private landlord or letting agency,34493
E09000028,Southwark,6,Private rented: Other private rented,3013
E09000028,Southwark,7,Lives rent free,392
E09000029,Sutton,-8,Does not apply,0
E09000029,Sutton,0,Owned: Owns outright,23400
E09000029,Sutton,1,Owned: Owns with a mortgage or loan,29647
E09000029,Sutton,2,Shared ownership: Shared ownership,889
E09000029,Sutton,3,Social rented: Rents from council or Local Authority,5399
E09000029,Sutton,4,Social rented: Other social rented,6268
E09000029,Sutton,5,Private rented: Private landlord or letting agency,15372
E09000029,Sutton,6,Private rented: Other private rented,1311
E09000029,Sutton,7,Lives rent free,61
E09000030,Tower Hamlets,-8,Does not apply,0
E09000030,Tower Hamlets,0,Owned: Owns outright,9424
E09000030,Tower Hamlets,1,Owned: Owns with a mortgage or loan,18459
E09000030,Tower Hamlets,2,Shared ownership: Shared ownership,3143
E09000030,Tower Hamlets,3,Social rented: Rents from council or Local Authority,16697
E09000030,Tower Hamlets,4,Social rented: Other social rented,26540
E09000030,Tower Hamlets,5,Private rented: Private landlord or letting agency,43126
E09000030,Tower Hamlets,6,Private rented: Other private rented,2874
E09000030,Tower Hamlets,7,Lives rent free,276
E09000031,Waltham Forest,-8,Does not apply,0
E09000031,Waltham Forest,0,Owned: Owns outright,20817
E09000031,Waltham Forest,1,Owned: Owns with a mortgage or loan,29539
E09000031,Waltham Forest,2,Shared ownership: Shared ownership,1700
E09000031,Waltham Forest,3,Social rented: Rents from council or Local Authority,10737
E09000031,Waltham Forest,4,Social rented: Other social rented,11362
E09000031,Waltham Forest,5,Private rented: Private landlord or letting agency,26361
E09000031,Waltham Forest,6,Private rented: Other private rented,2232
E09000031,Waltham Forest,7,Lives rent free,153
E09000032,Wandsworth,-8,Does not apply,0
E09000032,Wandsworth,0,Owned: Owns outright,24410
E09000032,Wandsworth,1,Owned: Owns with a mortgage or loan,33915
E09000032,Wandsworth,2,Shared ownership: Shared ownership,2509
E09000032,Wandsworth,3,Social rented: Rents from council or Local Authority,16653
E09000032,Wandsworth,4,Social rented: Other social rented,9891
E09000032,Wandsworth,5,Private rented: Private landlord or letting agency,46295
E09000032,Wandsworth,6,Private rented: Other private rented,3535
E09000032,Wandsworth,7,Lives rent free,184
E09000033,Westminster,-8,Does not apply,0
E09000033,Westminster,0,Owned: Owns outright,15213
E09000033,Westminster,1,Owned: Owns with a mortgage or loan,10749
E09000033,Westminster,2,Shared ownership: Shared ownership,695
E09000033,Westminster,3,Social rented: Rents from council or Local Authority,12418
E09000033,Westminster,4,Social rented: Other social rented,14392
E09000033,Westminster,5,Private rented: Private landlord or letting agency,36871
E09000033,Westminster,6,Private rented: Other private rented,4194
E09000033,Westminster,7,Lives rent free,284
