Lower tier local authorities Code,Lower tier local authorities,Accommodation type (8 categories) Code,Accommodation type (8 categories),Observation
E09000022,Lambeth,6,"Part of another converted building, for example, former school, church or warehouse",2559
E09000022,Lambeth,7,"In a commercial building, for example, in an office building, hotel or over a shop",1455
E09000022,Lambeth,8,A caravan or other mobile or temporary structure,78
E09000023,Lewisham,1,Detached,3682
E09000023,Lewisham,2,Semi-detached,15884
E09000023,Lewisham,3,Terraced,32070
E09000023,Lewisham,4,In a purpose-built block of flats or tenement,47837
E09000023,Lewisham,5,"Part of a converted or shared house, including bedsits",19953
E09000023,Lewisham,6,"Part of another converted building, for example, former school, church or warehouse",1270
E09000023,Lewisham,7,"In a commercial building, for example, in an office building, hotel or over a shop",1570
E09000023,Lewisham,8,A caravan or other mobile or temporary structure,127
E09000024,Merton,1,Detached,4659
E09000024,Merton,2,Semi-detached,15514
E09000024,Merton,3,Terraced,29176
E09000024,Merton,4,In a purpose-built block of flats or tenement,23191
E09000024,Merton,5,"Part of a converted or shared house, including bedsits",7515
E09000024,Merton,6,"Part of another converted building, for example, former school, church or warehouse",584
E09000024,Merton,7,"In a commercial building, for example, in an office building, hotel or over a shop",1035
E09000024,Merton,8,A caravan or other mobile or temporary structure,54
E09000025,Newham,1,Detached,6337
E09000025,Newham,2,Semi-detached,11937
E09000025,Newham,3,Terraced,36118
E09000025,Newham,4,In a purpose-built block of flats or tenement,50384
E09000025,Newham,5,"Part of a converted or shared house, including bedsits",8110
E09000025,Newham,6,"Part of another converted building, for example, former school, church or warehouse",840
E09000025,Newham,7,"In a commercial building, for example, in an office building, hotel or over a shop",1584
E09000025,Newham,8,A caravan or other mobile or temporary structure,199
E09000026,Redbridge,1,Detached,7229
E09000026,Redbridge,2,Semi-detached,27965
E09000026,Redbridge,3,Terraced,33469
E09000026,Redbridge,4,In a purpose-built block of flats or tenement,26303
E09000026,Redbridge,5,"Part of a converted or shared house, including bedsits",6792
E09000026,Redbridge,6,"Part of another converted building, for example, former school, church or warehouse",505
E09000026,Redbridge,7,"In a commercial building, for example, in an office building, hotel or over a shop",1297
E09000026,Redbridge,8,A caravan or other mobile or temporary structure,153
E09000027,Richmond upon Thames,1,Detached,6683
E09000027,Richmond upon Thames,2,Semi-detached,20164
E09000027,Richmond upon Thames,3,Terraced,21431
E09000027,Richmond upon Thames,4,In a purpose-built block of flats or tenement,22721
E09000027,Richmond upon Thames,5,"Part of a converted or shared house, including bedsits",7074
E09000027,Richmond upon Thames,6,"Part of another converted building, for example, former school, church or warehouse",1001
E09000027,Richmond upon Thames,7,"In a commercial building, for example, in an office building, hotel or over a shop",1437
E09000027,Richmond upon Thames,8,A caravan or other mobile or temporary structure,194
E09000028,Southwark,1,Detached,2377
E09000028,Southwark,2,Semi-detached,7400
E09000028,Southwark,3,Terraced,18764
E09000028,Southwark,4,In a purpose-built block of flats or tenement,84281
E09000028,Southwark,5,"Part of a converted or shared house, including bedsits",12560
E09000028,Southwark,6,"Part of another converted building, for example, former school, church or warehouse",3758
E09000028,Southwark,7,"In a commercial building, for example, in an office building, hotel or over a shop",1462
E09000028,Southwark,8,A caravan or other mobile or temporary structure,216
E09000029,Sutton,1,Detached,8611
E09000029,Sutton,2,Semi-detached,23003
E09000029,Sutton,3,Terraced,20167
E09000029,Sutton,4,In a purpose-built block of flats or tenement,25737
E09000029,Sutton,5,"Part of a converted or shared house, including bedsits",3224
E09000029,Sutton,6,"Part of another converted building, for example, former school, church or warehouse",469
E09000029,Sutton,7,"In a commercial building, for example, in an office building, hotel or over a shop",1099
E09000029,Sutton,8,A caravan or other mobile or temporary structure,38
E09000030,Tower Hamlets,1,Detached,1127
E09000030,Tower Hamlets,2,Semi-detached,2744
E09000030,Tower Hamlets,3,Terraced,10654
E09000030,Tower Hamlets,4,In a purpose-built block of flats or tenement,97258
E09000030,Tower Hamlets,5,"Part of a converted or shared house, including bedsits",2757
E09000030,Tower Hamlets,6,"Part of another converted building, for example, former school, church or warehouse",4210
E09000030,Tower Hamlets,7,"In a commercial building, for example, in an office building, hotel or over a shop",1601
E09000030,Tower Hamlets,8,A caravan or other mobile or temporary structure,191
E09000031,Waltham Forest,1,Detached,4241
E09000031,Waltham Forest,2,Semi-detached,16840
E09000031,Waltham Forest,3,Terraced,35667
E09000031,Waltham Forest,4,In a purpose-built block of flats or tenement,31555
E09000031,Waltham Forest,5,"Part of a converted or shared house, including bedsits",12324
E09000031,Waltham Forest,6,"Part of another converted building, for example, former school, church or warehouse",681
E09000031,Waltham Forest,7,"In a commercial building, for example, in an office building, hotel or over a shop",1492
E09000031,Waltham Forest,8,A caravan or other mobile or temporary structure,101
E09000032,Wandsworth,1,Detached,3031
E09000032,Wandsworth,2,Semi-detached,9640
E09000032,Wandsworth,3,Terraced,30521
E09000032,Wandsworth,4,In a purpose-built block of flats or tenement,66056
E09000032,Wandsworth,5,"Part of a converted or shared house, including bedsits",24263
E09000032,Wandsworth,6,"Part of another converted building, for example, former school, church or warehouse",1770
